# de Alcobas,# de Baños Completos,# de Niveles ,Administración $,Area Terraza en M2,Año de construcción,Cantidad de Parqueaderos,Estrato,Latitud,Longitud,M2 Area Construida,Piso #,Precio,Predial $,AnoDeExtraccion,MesDeExtraccion
1.0,1.0,1.0,305000.0,0.0,1995.0,1.0,6.0,4.696729327557291,-74.03736948443111,39.0,5.0,260000000.0,815000.0,2020,5
3.0,3.0,1.0,425000.0,0.0,2010.0,1.0,6.0,11.011970544709053,-74.82135772705078,125.0,1.0,299000000.0,2145000.0,2020,5
3.0,2.0,1.0,,0.0,2016.0,1.0,4.0,10.996805097900758,-74.8148775100708,98.05,,320000000.0,1078000.0,2020,5
3.0,2.0,1.0,200000.0,0.0,1991.0,0.0,5.0,10.982594,-74.805565,140.0,,280000000.0,1834200.0,2020,5
3.0,3.0,1.0,850000.0,0.0,2016.0,3.0,6.0,4.741389499999999,-74.07528969999998,166.8,3.0,850000000.0,,2020,5
3.0,2.0,1.0,,0.0,1995.0,1.0,6.0,11.014771854306069,-74.81869697570802,107.0,,310000000.0,1455300.0,2020,5
2.0,2.0,1.0,446000.0,0.0,2014.0,2.0,6.0,4.6906341,-74.04206479999998,87.72,4.0,575000000.0,2693000.0,2020,5
3.0,4.0,1.0,1350000.0,0.0,1992.0,2.0,6.0,4.656325380591993,-74.05259639024734,250.0,3.0,1350000000.0,8136000.0,2020,5
3.0,2.0,1.0,214000.0,0.0,2008.0,1.0,4.0,11.000607064469866,-74.83223676681519,86.0,,175000000.0,980000.0,2020,5
2.0,2.0,1.0,300000.0,0.0,2020.0,1.0,4.0,10.905332528012467,-75.03567695617677,77.8,2.0,363520500.0,,2020,5
2.0,2.0,1.0,300000.0,0.0,2020.0,1.0,4.0,10.905332528012467,-75.03567695617677,84.5,1.0,385953750.0,,2020,5
3.0,2.0,2.0,168100.0,0.0,2005.0,1.0,3.0,4.7249171,-74.12285330000003,108.88,5.0,273000000.0,1014000.0,2020,5
3.0,1.0,1.0,87000.0,0.0,2017.0,0.0,2.0,4.146461305056832,-73.62213134765625,54.0,3.0,115000000.0,,2020,5
3.0,2.0,1.0,364000.0,0.0,2011.0,2.0,5.0,4.7394292,-74.05742509999997,116.0,4.0,540000000.0,2544000.0,2020,5
3.0,2.0,1.0,315000.0,0.0,1992.0,1.0,5.0,4.724856900000002,-74.06620900000001,98.68,1.0,390000000.0,1805000.0,2020,5
3.0,2.0,1.0,160000.0,0.0,2017.0,1.0,4.0,10.989348467104056,-74.81728076934814,91.0,6.0,250000000.0,,2020,5
3.0,2.0,3.0,638000.0,0.0,1983.0,2.0,6.0,4.7133416000000015,-74.08162419999995,136.01,2.0,550000000.0,4109000.0,2020,5
