Administracion,Area,Banos,Barrio,Ciudad,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
1072000.0,262.0,4.0,El Campestre,Medellín,2022-08-28,4.0,6.182208,-75.572172,3.0,900000000.0,Images/205820.jpeg,https://www.redinmobiliariamls.com/medellin/el-campestre/1/205820
502000.0,152.73,2.0,Loma de los Parra,Medellín,2022-08-28,2.0,6.202229,-75.565499,2.0,1200000000.0,Images/211264.jpeg,https://www.redinmobiliariamls.com/medellin/loma-de-los-parra/1/211264
583000.0,217.39,3.0,Provenza,Medellín,2022-08-28,4.0,6.206645,-75.566711,3.0,850000000.0,Images/211597.jpeg,https://www.redinmobiliariamls.com/medellin/provenza/1/211597
204600.0,79.64,2.0,Niquia,Bello,2022-08-28,3.0,6.336838,-75.543515,1.0,320000000.0,Images/211607.jpeg,https://www.redinmobiliariamls.com/bello/niquia/1/211607
687000.0,160.0,3.0,San Lucas,Medellín,2022-08-28,3.0,6.20161,-75.559673,2.0,750000000.0,Images/211717.jpeg,https://www.redinmobiliariamls.com/medellin/san-lucas/1/211717
1160602.0,228.0,3.0,El Tesoro,Medellín,2022-08-28,3.0,6.202325,-75.559941,2.0,1870000000.0,Images/212023.jpeg,https://www.redinmobiliariamls.com/medellin/el-tesoro/1/212023
100000.0,55.7,2.0,Bellavista,Bello,2022-08-28,3.0,6.348227,-75.568277,0.0,150000000.0,Images/212517.jpeg,https://www.redinmobiliariamls.com/bello/bellavista/1/212517
200000.0,92.0,2.0,La Aldea,La Estrella,2022-08-28,3.0,6.140197,-75.635441,1.0,335000000.0,Images/213046.jpeg,https://www.redinmobiliariamls.com/la-estrella/la-aldea/1/213046
520000.0,234.0,3.0,Bosques de Zuñiga,Envigado,2022-08-28,3.0,6.184447,-75.580134,2.0,705000000.0,Images/213451.jpeg,https://www.redinmobiliariamls.com/envigado/bosques-de-zuniga/1/213451
1600000.0,410.0,4.0,El Campestre,Medellín,2022-08-28,4.0,6.187965,-75.574623,3.0,1300000000.0,Images/213532.jpeg,https://www.redinmobiliariamls.com/medellin/el-campestre/1/213532
526000.0,161.99,2.0,Transversal Intermedia,Envigado,2022-08-28,2.0,6.176616,-75.567521,2.0,920000000.0,Images/213540.jpeg,https://www.redinmobiliariamls.com/envigado/transversal-intermedia/1/213540
1262000.0,228.0,3.0,La Concha,Medellín,2022-08-28,3.0,6.208906,-75.558796,2.0,600000000.0,Images/213544.jpeg,https://www.redinmobiliariamls.com/medellin/la-concha/1/213544
1050000.0,305.0,4.0,La Concha,Medellín,2022-08-28,4.0,6.256602,-75.575637,3.0,1800000000.0,Images/214205.jpeg,https://www.redinmobiliariamls.com/medellin/la-concha/1/214205
,207.0,4.0,Guayabal,Medellín,2022-08-28,7.0,6.19672,-75.59025,0.0,750000000.0,Images/214261.jpeg,https://www.redinmobiliariamls.com/medellin/guayabal/1/214261
190000.0,56.0,1.0,Urbano,San Jerónimo,2022-08-28,1.0,6.256602,-75.575637,1.0,239000000.0,Images/214407.jpeg,https://www.redinmobiliariamls.com/san-jeronimo/urbano/1/214407
,163.0,2.0,Calasanz,Medellín,2022-08-28,3.0,6.26033,-75.598259,1.0,440000000.0,Images/214481.jpeg,https://www.redinmobiliariamls.com/medellin/calasanz/1/214481
,77.37,2.0,Las Vegas,Sabaneta,2022-08-28,3.0,6.152356,-75.624825,1.0,360000000.0,Images/214513.jpeg,https://www.redinmobiliariamls.com/sabaneta/las-vegas/1/214513
706000.0,197.0,3.0,Santa Maria de los Angeles,Medellín,2022-08-28,3.0,6.193817,-75.57809,2.0,590000000.0,Images/214651.jpeg,https://www.redinmobiliariamls.com/medellin/santa-maria-de-los-angeles/1/214651
340000.0,146.0,3.0,Urbano,San Jerónimo,2022-08-28,3.0,6.256602,-75.575637,3.0,390000000.0,Images/214736.jpeg,https://www.redinmobiliariamls.com/san-jeronimo/urbano/1/214736
182385.0,105.0,2.0,Las Vegas,Sabaneta,2022-08-28,3.0,6.256602,-75.575637,1.0,360000000.0,Images/214755.jpeg,https://www.redinmobiliariamls.com/sabaneta/las-vegas/1/214755
980000.0,252.25,5.0,Alejandría,Medellín,2022-08-28,4.0,6.199753,-75.569909,3.0,1100000000.0,Images/214970.jpeg,https://www.redinmobiliariamls.com/medellin/alejandria/1/214970
1230000.0,295.0,5.0,Castropol,Medellín,2022-08-28,4.0,6.213393,-75.564936,3.0,1300000000.0,Images/215232.jpeg,https://www.redinmobiliariamls.com/medellin/castropol/1/215232
750000.0,250.0,3.0,La Calera,Medellín,2022-08-28,3.0,6.199765,-75.554765,2.0,1350000000.0,Images/215260.jpeg,https://www.redinmobiliariamls.com/medellin/la-calera/1/215260
3100000.0,729.0,7.0,El Tesoro,Medellín,2022-08-28,6.0,6.190718,-75.554562,6.0,3000000000.0,Images/215327.jpeg,https://www.redinmobiliariamls.com/medellin/el-tesoro/1/215327
30000.0,83.0,2.0,La Magnolia,Envigado,2022-08-09,3.0,6.174264,-75.583696,1.0,290000000.0,Images/215945.jpeg,https://www.redinmobiliariamls.com/envigado/la-magnolia/1/215945
340000.0,93.0,2.0,Loma de San Julian,Medellín,2022-08-28,3.0,6.224773,-75.565854,1.0,380000000.0,Images/215993.jpeg,https://www.redinmobiliariamls.com/medellin/loma-de-san-julian/1/215993
293000.0,108.1,2.0,El Trapiche,Sabaneta,2022-08-28,3.0,6.148363,-75.621557,1.0,500000000.0,Images/216054.jpeg,https://www.redinmobiliariamls.com/sabaneta/el-trapiche/1/216054
245000.0,86.8,2.0,Loma de Cumbres,Envigado,2022-08-28,3.0,6.171617,-75.573762,1.0,480000000.0,Images/216136.jpeg,https://www.redinmobiliariamls.com/envigado/loma-de-cumbres/1/216136
,76.0,2.0,Camino Verde,Envigado,2022-08-09,3.0,6.150545,-75.575897,1.0,410000000.0,Images/216328.jpeg,https://www.redinmobiliariamls.com/envigado/camino-verde/1/216328
,73.75,2.0,Cabañas,Bello,2022-08-28,3.0,6.315321,-75.564534,0.0,240000000.0,Images/216404.jpeg,https://www.redinmobiliariamls.com/bello/cabanas/1/216404
398000.0,110.0,1.0,Loma de los Parra,Medellín,2022-08-28,1.0,6.256602,-75.575637,2.0,650000000.0,Images/216601.jpeg,https://www.redinmobiliariamls.com/medellin/loma-de-los-parra/1/216601
508000.0,146.0,2.0,Loma de los Parra,Medellín,2022-08-28,2.0,6.256602,-75.575637,2.0,790000000.0,Images/216603.jpeg,https://www.redinmobiliariamls.com/medellin/loma-de-los-parra/1/216603
778000.0,157.0,2.0,Los Naranjos,Medellín,2022-08-28,3.0,6.264358,-75.543283,2.0,600000000.0,Images/216880.jpeg,https://www.redinmobiliariamls.com/medellin/los-naranjos/1/216880
1847132.0,406.44,3.0,La Concha,Medellín,2022-08-28,3.0,6.209854,-75.562208,4.0,3300000000.0,Images/216885.jpeg,https://www.redinmobiliariamls.com/medellin/la-concha/1/216885
,117.6,2.0,Alto de las Palmas ,Medellín,2022-08-28,2.0,6.195476,-75.547088,2.0,871400000.0,Images/216948.jpeg,https://www.redinmobiliariamls.com/medellin/alto-de-las-palmas-/1/216948
170000.0,110.0,2.0,Rosales,Medellín,2022-08-28,3.0,6.234191,-75.590574,1.0,450000000.0,Images/217154.jpeg,https://www.redinmobiliariamls.com/medellin/rosales/1/217154
553000.0,268.0,3.0,Santa Teresita,Medellín,2022-08-28,4.0,6.251643,-75.592694,1.0,620000000.0,Images/217160.jpeg,https://www.redinmobiliariamls.com/medellin/santa-teresita/1/217160
808700.0,265.0,4.0,Alejandría,Medellín,2022-08-28,3.0,6.201123,-75.568703,2.0,1100000000.0,Images/217579.jpeg,https://www.redinmobiliariamls.com/medellin/alejandria/1/217579
880000.0,320.0,4.0,Los Balsos Nº 2,Medellín,2022-08-28,3.0,6.187807,-75.564668,3.0,1410000000.0,Images/217592.jpeg,https://www.redinmobiliariamls.com/medellin/los-balsos-n-2/1/217592
,55.0,2.0,Niquia,Bello,2022-08-28,2.0,6.342115,-75.551616,0.0,193491230.0,Images/217982.jpeg,https://www.redinmobiliariamls.com/bello/niquia/1/217982
1300000.0,284.0,5.0,El Tesoro,Medellín,2022-08-28,4.0,6.199804,-75.561899,3.0,980000000.0,Images/218134.jpeg,https://www.redinmobiliariamls.com/medellin/el-tesoro/1/218134
95000.0,54.0,2.0,La Doctora,Sabaneta,2022-08-28,2.0,6.144098,-75.607955,1.0,300000000.0,Images/218336.jpeg,https://www.redinmobiliariamls.com/sabaneta/la-doctora/1/218336
280000.0,92.3,2.0,V. Las Lomitas,Sabaneta,2022-08-28,3.0,6.150558,-75.616819,2.0,490000000.0,Images/218576.jpeg,https://www.redinmobiliariamls.com/sabaneta/v-las-lomitas/1/218576
