Administracion,Area,Banos,Barrio,Ciudad,Estrato,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
190000.0,66.0,2.0,aves maria,Sabaneta,4.0,2022-09-17,3.0,6.14824104309082,-75.61682891845703,1.0,320000000.0,Images/fincaraiz_3073497.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/aves-maria/sabaneta/3073497
871000.0,220.0,4.0,El Poblado,Medellín,6.0,2022-11-12,3.0,6.292036056518555,-75.54340362548828,3.0,1430000000.0,Images/fincaraiz_3545141.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/3545141
,115.0,4.0,Alejandría,Medellín,6.0,2022-09-17,3.0,6.20159912109375,-75.57213592529297,0.0,670000000.0,Images/fincaraiz_3681898.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/alejandria/medellin/3681898
40000.0,152.0,4.0,Laureles,Otros Municipios,5.0,2022-09-17,3.0,6.245062351226807,-75.59710693359375,1.0,580000000.0,Images/fincaraiz_4221660.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/laureles/otros-municipios/4221660
,152.0,5.0,ZUÑIGA,Envigado,5.0,2022-09-17,4.0,6.179467678070068,-75.58018493652344,1.0,650000000.0,Images/fincaraiz_4264981.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/zuniga/envigado/4264981
600000.0,190.0,5.0,El Poblado,Medellín,6.0,2022-09-17,4.0,6.197642803192139,-75.56983184814453,3.0,950000000.0,Images/fincaraiz_4380115.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/4380115
345000.0,147.0,2.0,Laureles,Medellín,5.0,2022-09-17,3.0,6.24469518661499,-75.59611511230469,2.0,570000000.0,Images/fincaraiz_4382251.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/laureles/medellin/4382251
210000.0,69.0,2.0,niquia,Bello,4.0,2022-09-17,3.0,6.337188720703125,-75.5489730834961,1.0,255000000.0,Images/fincaraiz_4425274.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/niquia/bello/4425274
,45.0,1.0,ITAGUI,Itaguí,3.0,2022-09-17,1.0,6.170000076293945,-75.60900115966797,0.0,123000000.0,Images/fincaraiz_4431985.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/itagui/itagui/4431985
,72.0,2.0,Camino Verde,Envigado,4.0,2022-09-17,2.0,6.20159912109375,-75.57213592529297,0.0,420000000.0,Images/fincaraiz_4465228.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/camino-verde/envigado/4465228
,108.0,2.0,loma linda,Sabaneta,4.0,2022-09-17,3.0,6.145999908447266,-75.61199951171875,1.0,570000000.0,Images/fincaraiz_4466922.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/loma-linda/sabaneta/4466922
420000.0,126.0,3.0,ALEJANDRIA,Medellín,6.0,2022-09-17,3.0,6.195579051971436,-75.56884002685547,2.0,600000000.0,Images/fincaraiz_4884553.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/alejandria/medellin/4884553
,59.0,2.0,Boston,Medellín,4.0,2022-09-17,2.0,6.248778343200684,-75.55631256103516,0.0,330000000.0,Images/fincaraiz_4977575.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/boston/medellin/4977575
,278.0,4.0,Loma Los Gonzalez,Medellín,6.0,2022-09-17,3.0,6.20159912109375,-75.57213592529297,0.0,1650000000.0,Images/fincaraiz_4996305.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/loma-los-gonzalez/medellin/4996305
110000.0,44.0,2.0,Centro,Medellín,3.0,2022-09-17,0.0,6.238193988800049,-75.55730438232422,0.0,140000000.0,Images/fincaraiz_5062346.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/centro/medellin/5062346
